verdant:   adj. Green with vegetation. 
sinecure:   n. Any position having emoluments with few or no duties. 
forgery:   n. Counterfeiting. 
exhaustible:   adj. Causing or tending to cause exhaustion. 
tutelage:   n. The act of training or the state of being under instruction. 
hillock:   n. A small hill or mound. 
contagion:   n. The communication of disease from person to person. 
prophecy:   n. Any prediction or foretelling. 
liquor:   n. Any alcoholic or intoxicating liquid. 
diplomat:   n. A representative of one sovereign state at the capital or court of another. 
alliance:   n. Any combination or union for some common purpose. 
masterpiece:   n. A superior production. 
decorate:   v. To embellish. 
outburst:   n. A violent issue, especially of passion in an individual. 
vassal:   n. A slave or bondman. 
sparse:   adj. Thinly diffused. 
epitome:   n. A simplified representation. 
superlative:   n. That which is of the highest possible excellence or eminence. 
overthrow:   v. To vanquish an established ruler or government. 
extensible:   adj. Capable of being thrust out. 
abrasion:   n. That which is rubbed off. 
heretic:   n. One who holds opinions contrary to the recognized standards or tenets of any philosophy. 
covenant:   n. An agreement entered into by two or more persons or parties. 
affront:   n. An open insult or indignity. 
wretchedness:   n. Extreme misery or unhappiness. 
discriminate:   v. To draw a distinction. 
eventual:   adj. Ultimate. 
remonstrance:   n. Reproof. 
atrocity:   n. Great cruelty or reckless wickedness. 
ripplet:   n. A small ripple, as of water. 
aye:   adv. An expression of assent. 
antic:   n. A grotesque, ludicrous, or fantastic action. 
dejection:   n. Melancholy. 
evince:   v. To make manifest or evident. 
finery:   n. That which is used to decorate the person or dress. 
duplicity:   n. Double-dealing. 
dissertation:   n. Thesis. 
superfluous:   adj. Being more than is needed. 
overshadow:   v. To cast into the shade or render insignificant by comparison. 
rigmarole:   n. Nonsense. 
renovate:   v. To restore after deterioration, as a building. 
supplant:   v. To take the place of. 
braggart:   n. A vain boaster. 
remunerate:   v. To pay or pay for. 
mimic:   v. To imitate the speech or actions of. 
collector:   n. One who makes a collection, as of objects of art, books, or the like. 
excusable:   adj. Justifiable. 
unctuous:   adj. Oily. 
inedible:   adj. Not good for food. 
impure:   adj. Tainted. 
docket:   n. The registry of judgments of a court. 
sanguinary:   adj. Bloody. 
arrange:   v. To put in definite or proper order. 
preference:   n. An object of favor or choice. 
rancor:   n. Malice. 
scintillate:   v. To emit or send forth sparks or little flashes of light. 
complaisant:   adj. Agreeable. 
illiterate:   adj. Having little or no book-learning. 
fervent:   adj. Ardent in feeling. 
Stoicism:   n. The principles or the practice of the Stoics-being very even tempered in success and failure. 
subvert:   v. To bring to ruin. 
carcass:   n. The dead body of an animal. 
vegetation:   n. Plant-life in the aggregate. 
sequence:   n. The order in which a number or persons, things, or events follow one another in space or time. 
rife:   adj. Abundant. 
syllabic:   adj. Consisting of that which is uttered in a single vocal impulse. 
duteous:   adj. Showing submission to natural superiors. 
motto:   n. An expressive word or pithy sentence enunciating some guiding rule of life, or faith. 
marvel:   v. To be astonished and perplexed because of (something). 
stature:   n. The natural height of an animal body. 
judicature:   n. Distribution and administration of justice by trial and judgment. 
kernel:   n. A grain or seed. 
resuscitate:   v. To restore from apparent death. 
luminescence:   n. Showing increase. 
aboriginal:   adj. Primitive; unsophisticated. 
animadvert:   v. To pass criticism or censure. 
presumptuous:   adj. Assuming too much. 
aver:   v. To assert as a fact. 
rotary:   adj. Turning around its axis, like a wheel, or so constructed as to turn thus. 
stationary:   adj. Not moving. 
inapt:   adj. Awkward or slow. 
sergeant:   n. A non-commissioned military officer ranking next above a corporal. 
ingenious:   adj. Evincing skill, originality, or cleverness, as in contrivance or arrangement. 
enormous:   adj. Gigantic. 
preclude:   v. To prevent. 
precarious:   adj. Perilous. 
outlive:   v. To continue to exist after. 
gamut:   n. The whole range or sequence. 
subsist:   v. To be maintained or sustained. 
irrefragable:   adj. That can not be refuted or disproved. 
floe:   n. A collection of tabular masses of floating polar ice. 
salutation:   n. Any form of greeting, hailing, or welcome, whether by word or act. 
detract:   v. To take away in such manner as to lessen value or estimation. 
propriety:   n. Accordance with recognized usage, custom, or principles. 
heteromorphic:   adj. Deviating from the normal form or standard type. 
vogue:   n. The prevalent way or fashion. 
nucleus:   n. A central point or part about which matter is aggregated. 
requital:   n. Adequate return for good or ill. 
mandate:   n. A command. 
muddle:   v. To confuse or becloud, especially with or as with drink. 
perspiration:   n. Sweat. 
bellicose:   adj. Warlike. 
superficial:   adj. Knowing and understanding only the ordinary and the obvious. 
comely:   adj. Handsome. 
surfeit:   v. To feed to fullness or to satiety. 
heterogeneity:   n. Unlikeness of constituent parts. 
concerto:   n. A musical composition. 
demobilize:   v. To disband, as troops. 
pyrotechnic:   adj. Pertaining to fireworks or their manufacture. 
vivacity:   n. Liveliness. 
effusion:   n. an outpouring. 
incendiary:   n. Chemical or person who starts a fire-literally or figuratively. 
endear:   v. To cause to be loved. 
contumacious:   adj. Rebellious. 
insignificance:   n. Lack of import or of importance. 
leisure:   n. Spare time. 
explicit:   adj. Definite. 
extraneous:   adj. Having no essential relation to a subject. 
declamatory:   adj. A full and formal style of utterance. 
homogeneous:   adj. Made up of similar parts or elements. 
beseech:   v. To implore. 
diplomatic:   adj. Characterized by special tact in negotiations. 
mystic:   n. One who professes direct divine illumination, or relies upon meditation to acquire truth. 
extenuate:   v. To diminish the gravity or importance of. 
lurid:   adj. Ghastly and sensational. 
extension:   n. A reaching or stretching out, as in space, time or scope. 
bumptious:   adj. Full of offensive and aggressive self-conceit. 
nominal:   adj. Trivial. 
prologue:   n. A prefatory statement or explanation to a poem, discourse, or performance. 
pentameter:   n. In prosody, a line of verse containing five units or feet. 
enshrine:   v. To keep sacred. 
pollen:   n. The fine dust-like grains or powder formed within the anther of a flowering plant. 
expanse:   n. A continuous area or stretch. 
futile:   adj. Of no avail or effect. 
Anglophobia:   n. Hatred or dread of England or of what is English. 
auburn:   adj. Reddish-brown, said usually of the hair. 
broadcast:   adj. Disseminated far and wide. 
sisterhood:   n. A body of sisters united by some bond of sympathy or by a religious vow. 
absolution:   n. Forgiveness, or passing over of offenses. 
vortex:   n. A mass of rotating or whirling fluid, especially when sucked spirally toward the center.
militia:   n. Those citizens, collectively, who are enrolled and drilled in temporary military organizations. 
valedictory:   n. A parting address. 
promiscuous:   adj. Brought together without order, distinction, or design (for sex). 
biennial:   n. A plant that produces leaves and roots the first year and flowers and fruit the second. 
guileless:   adj. Frank. 
sordid:   adj. Of degraded character or nature. 
imminence:   n. Impending evil or danger. 
confluence:   n. The place where streams meet. 
hypothesis:   n. A proposition taken for granted as a premise from which to reach a conclusion. 
neology:   n. The coining or using of new words or new meanings of words. 
entwine:   v. To interweave. 
mutation:   n. The act or process of change. 
herbarium:   n. A collection of dried plants scientifically arranged for study. 
mutiny:   n. Rebellion against lawful or constituted authority. 
shrinkage:   n. A contraction of any material into less bulk or dimension. 
similitude:   n. Similarity. 
observatory:   n. A building designed for systematic astronomical observations. 
maritime:   adj. Situated on or near the sea. 
tangent:   adj. Touching. 
apology:   n. A disclaimer of intentional error or offense. 
lawmaker:   n. A legislator. 
decapod:   adj. Ten-footed or ten-armed. 
terminal:   adj. Pertaining to or creative of a boundary, limit. 
suggestible:   adj. That can be suggested. 
obelisk:   n. A square shaft with pyramidal top, usually monumental or commemorative. 
entomology:   n. The branch of zoology that treats of insects. 
assiduous:   adj. Diligent. 
alcohol:   n. A volatile, inflammable, colorless liquid of a penetrating odor and burning taste. 
intangible:   adj. Not perceptible to the touch. 
discursive:   adj. Passing from one subject to another. 
antiquate:   v. To make old or out of date. 
jaundice:   n. A morbid condition, due to obstructed excretion of bile or characterized by yellowing of the skin.
photoelectric:   adj. Pertaining to the combined action of light and electricity. 
taut:   adj. Stretched tight. 
pedal:   n. A lever for the foot usually applied only to musical instruments, cycles, and other machines. 
overtone:   n. A harmonic. 
repulse:   n. The act of beating or driving back, as an attacking or advancing enemy. 
inaudible:   adj. That can not be heard. 
emaciate:   v. To waste away in flesh. 
oddity:   n. An eccentricity. 
consumption:   n. Gradual destruction, as by burning, eating, etc., or by using up, wearing out, etc. 
mane:   n. The long hair growing upon and about the neck of certain animals, as the horse and the lion. 
isochronous:   adj. Relating to or denoting equal intervals of time. 
irritancy:   n. The quality of producing vexation. 
philanthropic:   adj. Benevolent. 
decrepit:   adj. Enfeebled, as by old age or some chronic infirmity. 
importune:   v. To harass with persistent demands or entreaties. 
instantaneous:   adj. Done without perceptible lapse of time. 
affiliate:   n. Some auxiliary person or thing. 
optometry:   n. Measurement of the powers of vision. 
cosmopolitanism:   n. A cosmopolitan character. 
sinus:   n. An opening or cavity. 
explosive:   adj. Pertaining to a sudden and violent outbreak. 
militarism:   n. A policy of maintaining great standing armies. 
stagnate:   v. To become dull or inert. 
nunnery:   n. A convent for nuns. 
carouse:   v. To drink deeply and in boisterous or jovial manner. 
acquisition:   n. Anything gained, or made one's own, usually by effort or labor. 
gratification:   n. Satisfaction. 
fabricate:   v. To invent fancifully or falsely. 
denomination:   n. A body of Christians united by a common faith and form of worship and discipline. 
vitality:   n. The state or quality of being necessary to existence or continuance. 
susceptibility:   n. A specific capability of feeling or emotion. 
clarion:   n. A small shrill trumpet or bugle. 
Briticism:   n. A word, idiom, or phrase characteristic of Great Britain or the British. 
exclamation:   n. An abrupt or emphatic expression of thought or of feeling. 
penetrable:   adj. That may be pierced by physical, moral, or intellectual force. 
ill-natured:   adj. Surly. 
sentinel:   n. Any guard or watch stationed for protection. 
negate:   v. To deny. 
bitterness:   n. Acridity, as to the taste. 
cornucopia:   n. The horn of plenty, symbolizing peace and prosperity. 
flagrant:   adj. Openly scandalous. 
scholarly:   adj. Characteristic of an erudite person. 
infrequence:   n. Rareness. 
unbelief:   n. Doubt. 
benediction:   n. a solemn invocation of the divine blessing. 
breaker:   n. One who trains horses, dogs, etc. 
deprecate:   v. To express disapproval or regret for, with hope for the opposite. 
endurance:   n. The ability to suffer pain, distress, hardship, or stress of any kind without succumbing. 
distraught:   adj. Bewildered. 
incontrovertible:   adj. Indisputable. 
inhume:   v. To place in the earth, as a dead body. 
impermissible:   adj. Not permissible. 
demeanor:   n. Deportment. 
choral:   adj. Pertaining to, intended for, or performed by a chorus or choir. 
colloquy:   n. Conversation. 
rebuild:   v. To build again or anew. 
penurious:   adj. Excessively sparing in the use of money. 
recrudescence:   n. The state of becoming raw or sore again. 
embroil:   v. To involve in dissension or strife. 
radix:   n. That from or on which something is developed. 
conquer:   v. To overcome by force. 
stupor:   n. Profound lethargy. 
genesis:   n. Creation. 
supplementary:   adj. Being an addition to. 
primeval:   adj. Belonging to the first ages. 
reticence:   n. The quality of habitually keeping silent or being reserved in utterance. 
immaterial:   adj. Of no essential consequence. 
rote:   n. Repetition of words or sounds as a means of learning them, with slight attention. 
hydrometer:   n. An instrument for determining the density of solids and liquids by flotation. 
dissentious:   adj. Contentious. 
contaminate:   v. To pollute. 
deify:   v. To regard or worship as a god. 
narrative:   n. An orderly continuous account of the successive particulars of an event. 
peddle:   v. To go about with a small stock of goods to sell. 
grenadier:   n. A member of a regiment composed of men of great stature. 
invoke:   v. To call on for assistance or protection. 
peremptory:   adj. Precluding question or appeal. 
endanger:   v. To expose to peril. 
tableau:   n. An arrangement of inanimate figures representing a scene from real life. 
aura:   n. Pervasive psychic influence supposed to emanate from persons 
illusory:   adj. Deceiving or tending to deceive, as by false appearance. 
formula:   n. Fixed rule or set form. 
polysyllable:   adj. Having several syllables, especially more than three syllables. 
upbraid:   v. To reproach as deserving blame. 
vendible:   adj. Marketable. 
antechamber:   n. A waiting room for those who seek audience. 
crustacean:   adj. Pertaining to a division of arthropods, containing lobsters, crabs, crawfish, etc. 
havoc:   n. Devastation. 
catastrophe:   n. Any great and sudden misfortune or calamity. 
inquire:   v. To ask information about. 
incompressible:   adj. Resisting all attempts to reduce volume by pressure. 
forthright:   adv. With directness. 
regent:   n. One who is lawfully deputized to administer the government for the time being in the name of the ruler.
confluent:   n. A stream that unites with another. 
timorous:   adj. Lacking courage. 
aldermanship:   n. The dignity, condition, office, or term of office of an alderman. 
correlate:   v. To put in some relation of connection or correspondence. 
abet:   v. To aid, promote, or encourage the commission of (an offense). 
evert:   v. To turn inside out. 
clement:   adj. Compassionate. 
decaliter:   n. A liquid and dry measure of 10 liters. 
cacophony:   n. A disagreeable, harsh, or discordant sound or combination of sounds or tones. 
carnal:   adj. Sensual. 
lacteal:   adj. Milky. 
intensive:   adj. Adding emphasis or force. 
archetype:   n. A prototype. 
generality:   n. The principal portion. 
inextensible:   adj. Of unchangeable length or area. 
debonair:   adj. Having gentle or courteous bearing or manner. 
corporeal:   adj. Of a material nature; physical. 
pact:   n. A covenant. 
understate:   v. To fail to put strongly enough, as a case. 
refute:   v. To prove to be wrong. 
consignor:   n. One who entrusts. 
adjutant:   adj. Auxiliary. 
out-and-out:   adv. Genuinely. 
amply:   adv. Sufficiently. 
dyne:   n. The force which, applied to a mass of one gram for 1 second, would give it a velocity of 1 cm/s. 
concordance:   n. Harmony. 
liberalism:   n. Opposition to conservatism. 
triumvir:   n. One of three men united coordinately in public office or authority. 
esthetic:   adj. Pertaining to beauty, taste, or the fine arts. 
breach:   n. The violation of official duty, lawful right, or a legal obligation. 
egotism:   n. Self-conceit. 
visual:   adj. Perceptible by sight. 
composure:   n. Calmness. 
lassie:   n. A little lass. 
lewd:   adj. Characterized by lust or lasciviousness. 
onslaught:   n. A violent onset. 
preordain:   v. To foreordain. 
assassinate:   v. To kill, as by surprise or secret assault, especially the killing of some eminent person. 
zeitgeist:   n. The intellectual and moral tendencies that characterize any age or epoch. 
bemoan:   v. To lament 
theology:   n. The branch of theological science that treats of God. 
impoverish:   v. To make indigent or poor. 
insolent:   adj. Impudent. 
providential:   adj. Effected by divine guidance. 
priory:   n. A monastic house. 
imply:   v. To signify. 
resilience:   n. The power of springing back to a former position 
cadaverous:   adj. Resembling a corpse. 
caste:   n. The division of society on artificial grounds. 
putrescent:   adj. Undergoing decomposition of animal or vegetable matter accompanied by fetid odors. 
humanize:   v. To make gentle or refined. 
modernize:   v. To make characteristic of the present or of recent times. 
Unitarian:   adj. Pertaining to a religious body that rejects the doctrine of the Trinity. 
intension:   n. The act of stringing or stretching, or state of being strained. 
impromptu:   n. Anything done or said on the impulse of the moment. 
specimen:   n. One of a class of persons or things regarded as representative of the class. 
discord:   n. Absence of harmoniousness. 
belie:   v. To misrepresent. 
actuary:   n. An officer, as of an insurance company, who calculates and states the risks and premiums. 
illumine:   v. To make bright or clear. 
convoy:   n. A protecting force accompanying property in course of transportation. 
entangle:   v. To involve in difficulties, confusion, or complications. 
shiftless:   adj. Wanting in resource, energy, or executive ability. 
comestible:   adj. Fit to be eaten. 
mordant:   adj. Biting. 
speculate:   v. To pursue inquiries and form conjectures. 
fief:   n. A landed estate held under feudal tenure. 
regale:   v. To give unusual pleasure. 
supramundane:   adj. Supernatural. 
predominate:   v. To be chief in importance, quantity, or degree. 
somber:   adj. Gloomy. 
impetuosity:   n. Rashness. 
impugn:   v. To assail with arguments, insinuations, or accusations. 
frigidarium:   n. A room kept at a low temperature for preserving fruits, meat, etc. 
capitulate:   v. To surrender or stipulate terms. 
vagabond:   n. A wanderer. 
brigand:   n. One who lives by robbery and plunder. 
commitment:   n. The act or process of entrusting or consigning for safe-keeping. 
divisible:   adj. Capable of being separated into parts. 
tenure:   n. The term during which a thing is held. 
deluge:   v. To overwhelm with a flood of water. 
polytechnic:   adj. Pertaining to, embracing, or practicing many arts. 
harass:   v. To trouble with importunities, cares, or annoyances. 
inquisitive:   adj. Given to questioning, especially out of curiosity. 
pontiff:   n. The Pope. 
efficacious:   adj. Effective. 
tirade:   n. Harangue. 
prospectus:   n. A paper or pamphlet containing information of a proposed undertaking. 
simultaneous:   adj. Occurring, done, or existing at the same time. 
inchmeal:   adv. Piecemeal. 
insurrection:   n. The state of being in active resistance to authority. 
self-respect:   n. Rational self-esteem. 
unnatural:   adj. Artificial. 
aberration:   n. Deviation from a right, customary, or prescribed course. 
inaccurate:   adj. Not exactly according to the facts. 
proscenium:   n. That part of the stage between the curtain and the orchestra. 
check:   v. To hold back. 
interposition:   n. A coming between. 
ally:   n. A person or thing connected with another, usually in some relation of helpfulness. 
denounce:   v. To point out or publicly accuse as deserving of punishment, censure, or odium. 
quarterly:   adj. Occurring or made at intervals of three months. 
precursor:   n. A forerunner or herald. 
mountainous:   adj. Full of or abounding in mountains. 
centimeter:   n. A length of one hundredth of a meter. 
remission:   n. Temporary diminution of a disease. 
inadmissible:   adj. Not to be approved, considered, or allowed, as testimony. 
delectable:   adj. Delightful to the taste or to the senses. 
skeptic:   n. One who doubts any statements. 
symmetry:   n. Relative proportion and harmony. 
cynosure:   n. That to which general interest or attention is directed. 
reconstruct:   v. To rebuild. 
encourage:   v. To inspire with courage, hope, or strength of mind. 
matter:   of fact n. Something that has actual and undeniable existence or reality. 
auricular:   adj. Of or pertaining to the ear, its auricle, or the sense of hearing. 
amour:   n. A love-affair, especially one of an illicit nature. 
safeguard:   v. To protect. 
burgher:   n. An inhabitant, citizen or freeman of a borough burgh, or corporate town. 
expect:   v. To look forward to as certain or probable. 
abhorrence:   n. The act of detesting extremely. 
exorcise:   v. To cast or drive out by religious or magical means. 
contort:   v. To twist into a misshapen form. 
prurient:   adj. Inclined to lascivious thoughts and desires. 
mandatory:   adj. Expressive of positive command, as distinguished from merely directory. 
leniency:   n. Forbearance. 
expansion:   n. Increase of amount, size, scope, or the like. 
suffuse:   v. To cover or fill the surface of. 
beneficial:   adj. Helpful. 
pretension:   n. A bold or presumptuous assertion. 
forerun:   v. To go before as introducing or ushering in. 
outlast:   v. To last longer than. 
intermit:   v. To cause to cease temporarily. 
courtesy:   n. Politeness originating in kindness and exercised habitually. 
metaphysics:   n. The principles of philosophy as applied to explain the methods of any particular science. 
colleague:   n. An associate in professional employment. 
visualize:   v. To give pictorial vividness to a mental representation. 
metaphysical:   adj. Philosophical. 
inchoative:   n. That which begins, or expresses beginning. 
streamlet:   n. Rivulet. 
origin:   n. The beginning of that which becomes or is made to be. 
Gordian:   knot n. Any difficulty the only issue out of which is by bold or unusual manners. 
onerous:   adj. Burdensome or oppressive. 
perseverance:   n. A persistence in purpose and effort. 
syneresis:   n. The coalescence of two vowels or syllables, as e'er for ever. 
competitor:   n. A rival. 
material:   n. That of which anything is composed or may be constructed. 
obstreperous:   adj. Boisterous. 
transient:   n. One who or that which is only of temporary existence. 
meddlesome:   adj. Interfering. 
telltale:   adj. That gives warning or information. 
heterodox:   adj. At variance with any commonly accepted doctrine or opinion. 
vituperable:   adj. Deserving of censure. 
exaggerate:   v. To overstate. 
midwife:   n. A woman who makes a business of assisting at childbirth. 
disyllable:   n. A word of two syllables. 
upheaval:   n. Overthrow or violent disturbance of established order or condition. 
hypnosis:   n. An artificial trance-sleep. 
economize:   v. To spend sparingly. 
diffusion:   n. Dispersion. 
transfuse:   v. To pour or cause to pass, as a fluid, from one vessel to another. 
annihilate:   v. To destroy absolutely. 
undergarment:   n. A garment to be worn under the ordinary outer garments. 
raptorial:   adj. Seizing and devouring living prey. 
conjugal:   adj. Pertaining to marriage, marital rights, or married persons. 
rhetorician:   n. A showy writer or speaker. 
persist:   v. To continue steadfast against opposition. 
spinster:   n. A woman who has never been married. 
amphitheater:   n. An edifice of elliptical shape, constructed about a central open space or arena. 
assonate:   v. To accord in sound, especially vowel sound. 
allegory:   n. The setting forth of a subject under the guise of another subject of aptly suggestive likeness. 
magisterial:   adj. Having an air of authority. 
stellar:   adj. Pertaining to the stars. 
infirmary:   n. A place for the reception or treatment of the sick. 
convulsion:   n. A violent and abnormal muscular contraction of the body. 
hypnotism:   n. An artificially induced somnambulistic state in which the mind readily acts on suggestion. 
diplomatist:   n. One remarkable for tact and shrewd management. 
collide:   v. To meet and strike violently. 
proceed:   v. To renew motion or action, as after rest or interruption. 
narrow-minded:   adj. Characterized by illiberal views or sentiments. 
compulsory:   adj. Forced. 
vertical:   adj. Lying or directed perpendicularly to the horizon. 
squabble:   v. To quarrel. 
norm:   n. A model. 
imprudent:   adj. Heedless. 
illiberal:   adj. Stingy. 
propel:   v. To drive or urge forward. 
underman:   v. To equip with less than the full complement of men. 
imbibe:   v. To drink or take in. 
volatile:   adj. Changeable. 
redoubtable:   adj. Formidable. 
buffoon:   n. A clown. 
consort:   n. A companion or associate. 
dissuade:   v. To change the purpose or alter the plans of by persuasion, counsel, or pleading. 
disavowal:   n. Denial. 
socialism:   n. A theory of civil polity that aims to secure the reconstruction of society. 
aggregate:   n. The entire number, sum, mass, or quantity of something. 
avarice:   n. Passion for getting and keeping riches. 
revisal:   n. Revision. 
attest:   v. To certify as accurate, genuine, or true. 
tortious:   adj. Wrongful. 
nuance:   n. A slight degree of difference in anything perceptible to the sense of the mind. 
hinder:   v. To obstruct. 
propaganda:   n. Any institution or systematic scheme for propagating a doctrine or system. 
hesitancy:   n. A pausing to consider. 
devious:   adj. Out of the common or regular track. 
lowly:   adv. Rudely. 
mercantile:   adj. Conducted or acting on business principles; commercial. 
covert:   adj. Concealed, especially for an evil purpose. 
savage:   n. A wild and uncivilized human being. 
dignitary:   n. One who holds high rank. 
necrosis:   n. the death of part of the body. 
trajectory:   n. The path described by a projectile moving under given forces. 
brogue:   n. Any dialectic pronunciation of English, especially that of the Irish people. 
underworld:   n. Hades. 
mausoleum:   n. A tomb of more than ordinary size or architectural pretensions. 
permanence:   n. A continuance in the same state, or without any change that destroys the essential form or nature.
conjunction:   n. The state of being joined together, or the things so joined. 
misty:   adj. Lacking clearness 
ardent:   adj. Burning with passion. 
incomplete:   adj. Lacking some element, part, or adjunct necessary or required. 
impatience:   n. Unwillingness to brook delays or wait the natural course of things. 
junta:   n. A council or assembly that deliberates in secret upon the affairs of government. 
canine:   adj. Characteristic of a dog. 
pedestrian:   n. One who journeys on foot. 
linguist:   n. One who is acquainted with several languages. 
transcendent:   adj. Surpassing. 
antemeridian:   adj. Before noon. 
debut:   n. A first appearance in society or on the stage. 
sequel:   n. That which follows in consequence of what has previously happened. 
belate:   v. To delay past the proper hour. 
corroboration:   n. Confirmation. 
lifelike:   adj. Realistic. 
rigor:   n. Inflexibility. 
corroborate:   v. To strengthen, as proof or conviction. 
generate:   v. To produce or cause to be. 
acquiescence:   n. Passive consent. 
inroad:   n. Forcible encroachment or trespass. 
absorb:   v. To drink in or suck up, as a sponge absorbs water. 
translate:   v. To give the sense or equivalent of in another language or dialect. 
visage:   n. The face, countenance, or look of a person. 
prescription:   n. An authoritative direction. 
virulent:   adj. Exceedingly noxious or deleterious. 
presage:   v. To foretell. 
derelict:   adj. Neglectful of obligation. 
expectorate:   v. To cough up and spit forth. 
anemia:   n. Deficiency of blood or red corpuscles. 
satiric:   adj. Resembling poetry, in which vice, incapacity ,or corruption is held up to ridicule. 
impotent:   adj. Destitute of or lacking in power, physical, moral, or intellectual. 
extort:   v. To obtain by violence, threats, compulsion, or the subjection of another to some necessity. 
datum:   n. A premise, starting-point, or given fact. 
protract:   v. To prolong. 
phenomenal:   adj. Extraordinary or marvelous. 
outrigger:   n. A part built or arranged to project beyond a natural outline for support. 
outbreak:   n. A sudden and violent breaking forth, as of something that has been pent up or restrained. 
octave:   n. A note at this interval above or below any other, considered in relation to that other. 
jocose:   adj. Done or made in jest. 
inure:   v. To harden or toughen by use, exercise, or exposure. 
panel:   n. A rectangular piece set in or as in a frame. 
playwright:   n. A maker of plays for the stage. 
dissent:   n. Disagreement. 
fallacy:   n. Any unsound or delusive mode of reasoning, or anything based on such reasoning. 
irreversible:   adj. Irrevocable. 
crucible:   n. A trying and purifying test or agency. 
recure:   v. To cure again. 
vivisection:   n. The dissection of a living animal. 
succeed:   v. To accomplish what is attempted or intended. 
conformance:   n. The act or state or conforming. 
exhaustive:   adj. Thorough and complete in execution. 
lexicographer:   n. One who makes dictionaries. 
annotate:   v. To make explanatory or critical notes on or upon. 
premature:   adj. Coming too soon. 
palsy:   n. Paralysis. 
investigator:   n. One who investigates. 
moralist:   n. A writer on ethics. 
thoroughfare:   n. A public street or road. 
aloof:   adv. Not in sympathy with or desiring to associate with others. 
eccentricity:   n. Idiosyncrasy. 
commemorate:   v. To serve as a remembrance of. 
cathode:   n. The negative pole or electrode of a galvanic battery. 
gnash:   v. To grind or strike the teeth together, as from rage. 
acute:   adj. Having fine and penetrating discernment. 
dendroid:   adj. Like a tree. 
dissever:   v. To divide. 
disagree:   v. To be opposite in opinion. 
contiguous:   adj. Touching or joining at the edge or boundary. 
delude:   v. To mislead the mind or judgment of. 
involve:   v. To draw into entanglement, literally or figuratively. 
perpendicular:   adj. Straight up and down. 
perception:   n. Knowledge through the senses of the existence and properties of matter or the external world. 
despond:   v. To lose spirit, courage, or hope. 
biped:   n. An animal having two feet. 
deprave:   v. To render bad, especially morally bad. 
servitude:   n. Slavery. 
salutary:   adj. Beneficial. 
crystallize:   v. To bring together or give fixed shape to. 
complication:   n. An intermingling or combination of things or parts, especially in a perplexing manner. 
reclaim:   v. To demand or to obtain the return or restoration of. 
urgency:   n. The pressure of necessity. 
opportunist:   n. One who takes advantage of circumstances to gain his ends. 
taciturn:   adj. Disinclined to conversation. 
ramose:   adj. Branch-like. 
transparent:   adj. Easy to see through or understand. 
inspector:   n. An official appointed to examine or oversee any matter of public interest or importance. 
resource:   n. That which is restored to, relied upon, or made available for aid or support. 
antislavery:   adj. Opposed to human slavery. 
foist:   v. To palm off. 
typical:   adj. Characteristic. 
constituent:   n. One who has the right to vote at an election. 
emulate:   v. To imitate with intent to equal or surpass. 
cognizant:   adj. Taking notice. 
buttress:   n. Any support or prop. 
plausible:   adj. Seeming likely to be true, though open to doubt. 
flimsy:   adj. Thin and weak. 
reunite:   v. To unite or join again, as after separation. 
overrun:   v. To infest or ravage. 
berth:   n. A bunk or bed in a vessel, sleeping-car, etc. 
quartet:   n. A composition for four voices or four instruments. 
lethargy:   n. Prolonged sluggishness of body or mind. 
objective:   adj. Grasping and representing facts as they are. 
hoarse:   adj. Having the voice harsh or rough, as from a cold or fatigue. 
dragnet:   n. A net to be drawn along the bottom of the water. 
solder:   n. A fusible alloy used for joining metallic surfaces or margins. 
genital:   adj. Of or pertaining to the animal reproductive organs. 
consonant:   adj. Being in agreement or harmony with. 
haggard:   adj. Worn and gaunt in appearance. 
oust:   v. To eject. 
acerbity:   n. Sourness, with bitterness and astringency. 
vagrant:   n. An idle wanderer. 
misbehavior:   n. Ill or improper behavior. 
abeyance:   n. A state of suspension or temporary inaction. 
revocation:   n. Repeal. 
syndicate:   n. An association of individuals united for the prosecution of some enterprise. 
nefarious:   adj. Wicked in the extreme. 
incombustible:   adj. That can not be burned. 
apothecary:   n. One who keeps drugs for sale and puts up prescriptions. 
sedate:   adj. Even-tempered. 
commodity:   n. Something that is bought and sold. 
admonish:   v. To warn of a fault. 
implicate:   v. To show or prove to be involved in or concerned 
enumerate:   v. To name one by one. 
pyx:   n. A vessel or casket, usually of precious metal, in which the host is preserved. 
rightful:   adj. Conformed to a just claim according to established laws or usage. 
sapient:   adj. Possessing wisdom. 
strait:   n. A narrow passage of water connecting two larger bodies of water. 
carrion:   n. Dead and putrefying flesh. 
inexpressible:   adj. Unutterable. 
imperfectible:   adj. That can not be perfected. 
ode:   n. The form of lyric poetry anciently intended to be sung. 
municipality:   n. A district enjoying municipal government. 
symphonic:   adj. Characterized by a harmonious or agreeable mingling of sounds. 
sequacious:   adj. Ready to be led. 
hereditary:   adj. Passing naturally from parent to child. 
inanimate:   adj. Destitute of animal life. 
parish:   n. The ecclesiastical district in charge of a pastor. 
introgression:   n. Entrance. 
parlance:   n. Mode of speech. 
impetus:   n. Any impulse or incentive. 
azure:   n. The color of the sky. 
peddler:   n. One who travels from house to house with an assortment of goods for retail. 
pleasurable:   adj. Affording gratification. 
forecourt:   n. A court opening directly from the street. 
Renaissance:   n. The revival of letters, and then of art, which marks the transition from medieval to modern time.
